ds,yhat,yhat_lower,yhat_upper
2023-12-05 00:00:00,16.621568068274296,-120.37765006330741,146.3229110041268
2023-12-05 01:00:00,22.705234066048387,-107.73560485581845,159.70825165220617
2023-12-05 02:00:00,7.277141692510305,-124.7323536361626,141.4802836936622
2023-12-05 03:00:00,11.056325408233583,-125.63066538340375,153.19532843294948
2023-12-05 04:00:00,12.850488041166319,-120.3973120879711,153.78656296222624
2023-12-05 05:00:00,12.398014432552252,-122.211799253439,141.25947047472968
2023-12-05 06:00:00,15.359798863156119,-123.40468765537375,142.58644985870114
2023-12-05 07:00:00,26.704864424121,-110.7932909748018,164.63758225724953
2023-12-05 08:00:00,23.590048853193686,-115.09999594188079,173.4192409836576
2023-12-05 09:00:00,32.12332099255794,-103.15873805220797,164.13057369612886
2023-12-05 10:00:00,13.05851353866111,-121.98847572498137,152.47484616490573
2023-12-05 11:00:00,12.674515415892618,-130.6781159744825,144.65629885930164
2023-12-05 12:00:00,14.533101737871572,-121.78064442246107,145.45390981258572
2023-12-05 13:00:00,8.528915583938875,-122.28456480461978,140.13750182681352
2023-12-05 14:00:00,22.3459886058628,-113.02507404649694,156.40250367505664
2023-12-05 15:00:00,24.430665421897785,-108.6285978008943,159.56866735042405
2023-12-05 16:00:00,28.623434966445167,-108.83739502628659,156.91389114770408
2023-12-05 17:00:00,26.19227168460561,-108.24255010710361,162.27289520862288
2023-12-05 18:00:00,33.712060368634205,-99.76088140405557,159.6997721014406
2023-12-05 19:00:00,33.743220334642814,-88.88862576333997,164.7455519353247
2023-12-05 20:00:00,28.736385376760982,-106.04151583486399,153.94517506076892
2023-12-05 21:00:00,15.701202042128354,-113.46868866617623,149.85150971380594
2023-12-05 22:00:00,24.522015370277114,-108.20031873865955,157.72668350116842
2023-12-05 23:00:00,31.399160050028538,-100.99207333726524,165.90424448640997
2023-12-06 00:00:00,41.20571603285211,-85.0113566533957,175.50953936718568
2023-12-06 01:00:00,40.03663621920673,-99.63359375585556,168.48812381784262
2023-12-06 02:00:00,31.63508360684933,-108.25581959527432,166.04184648491642
2023-12-06 03:00:00,33.88129254382181,-95.5152933576043,175.17828449890374
2023-12-06 04:00:00,26.93452459190856,-115.00133193590176,156.07445836419888
2023-12-06 05:00:00,28.457478336280076,-109.75110246602848,162.86792835059885
2023-12-06 06:00:00,35.38382917202722,-99.58258063689074,165.77672218480328
2023-12-06 07:00:00,39.90285249126528,-90.55835151008235,179.70994475296519
2023-12-06 08:00:00,34.11466983248888,-86.806044406067,173.33776925716742
2023-12-06 09:00:00,50.79625091036992,-86.19633450164154,181.3556169608939
2023-12-06 10:00:00,38.3336577639794,-88.496005319811,174.25887558797368
2023-12-06 11:00:00,32.98925117801175,-97.61956013046371,158.8962696636247
2023-12-06 12:00:00,28.760641500959075,-104.79778566364912,160.76978129298416
2023-12-06 13:00:00,28.76868197565353,-108.58931077269581,163.86945299044254
2023-12-06 14:00:00,36.000289928465406,-93.63934968069447,171.59886544065748
2023-12-06 15:00:00,49.364950697418145,-83.48429590357483,185.27545640827296
2023-12-06 16:00:00,48.753413425950896,-93.97104773728806,180.02282884813067
2023-12-06 17:00:00,44.81841479935189,-93.3596556077105,179.78948143406802
2023-12-06 18:00:00,46.44810939489425,-83.08582793540187,181.2904327181262
2023-12-06 19:00:00,48.08526622093268,-86.06717349921352,177.80550377839106
2023-12-06 20:00:00,43.26181792155429,-79.21798249457996,185.44854387774308
2023-12-06 21:00:00,38.54296682969166,-111.41484711310508,173.6149560333214
2023-12-06 22:00:00,34.930609905482655,-106.7124799869751,167.4994104092215
2023-12-06 23:00:00,33.666715677329634,-99.62685604350702,158.18918029155765
2023-12-07 00:00:00,41.641155041622454,-90.04157143969296,175.64111859952973
2023-12-07 01:00:00,44.85008798512824,-80.08220592050347,181.68246108786835
2023-12-07 02:00:00,40.410017949126335,-95.48552823239534,185.971443072099
2023-12-07 03:00:00,46.83693748205041,-87.2533555925281,180.23429244525408
2023-12-07 04:00:00,45.04935990061014,-92.9398941084245,178.66953074642672
2023-12-07 05:00:00,46.084368777617485,-87.63472203801186,195.4726092836595
2023-12-07 06:00:00,51.87160565250295,-76.81342969321149,190.75204846695235
2023-12-07 07:00:00,50.82465156197924,-93.64748667872394,189.46164805383796
2023-12-07 08:00:00,50.82061653427616,-85.59363215104352,178.01729518166997
2023-12-07 09:00:00,47.25412045840107,-83.11853346644443,177.61542002211348
2023-12-07 10:00:00,49.06869702223642,-74.76129121740917,180.56283360530801
2023-12-07 11:00:00,46.06011911488923,-85.95178447128511,181.70481718967903
2023-12-07 12:00:00,37.24014635381218,-95.29015836931742,174.17052739262724
2023-12-07 13:00:00,51.00558151645855,-82.40784310189203,179.71704998119117
