ds,yhat,yhat_lower,yhat_upper
2023-12-05 00:00:00,6597.905144455939,4259.429785473567,8964.188215128812
2023-12-05 01:00:00,6574.4753566585105,4207.383361237973,8958.050843939105
2023-12-05 02:00:00,6539.94516746561,4025.483357781565,9087.26763256192
2023-12-05 03:00:00,6510.166886648461,3993.370649013969,8913.423547770666
2023-12-05 04:00:00,6497.477981461836,4115.6576946525065,8985.05532349094
2023-12-05 05:00:00,6501.040795730622,3852.0884147831625,9019.36533093037
2023-12-05 06:00:00,6507.209728750992,3821.5992369130227,9032.088383874223
2023-12-05 07:00:00,6500.357255907912,3993.264458134498,9153.125849344524
2023-12-05 08:00:00,6474.524082844674,4026.2915359732883,9238.059304012182
2023-12-05 09:00:00,6435.355893250842,4037.7961049959054,9096.9666629636
2023-12-05 10:00:00,6391.273034444077,3910.720126341506,8804.720171289897
2023-12-05 11:00:00,6343.469151129104,3821.8787717889677,8806.19678331108
2023-12-05 12:00:00,6285.5132364385745,3639.0831651599324,8658.181407053034
2023-12-05 13:00:00,6213.625320774442,3677.4130708380485,8718.747538177482
2023-12-05 14:00:00,6137.5305929754795,3679.6912843387613,8729.608890149593
2023-12-05 15:00:00,6080.260031368824,3436.413590547355,8506.049810590664
2023-12-05 16:00:00,6065.168753015016,3705.397697296833,8688.030042457041
2023-12-05 17:00:00,6100.426115547062,3574.118590564296,8496.26058992362
2023-12-05 18:00:00,6173.8434994497575,3682.304318173677,8753.120456122822
2023-12-05 19:00:00,6320.458275839334,3852.1627677295687,8810.353252704574
2023-12-05 20:00:00,6044.17222526033,3677.003316832906,8554.592355963274
2023-12-05 21:00:00,5442.169239523262,3036.0344553975424,8012.032905513015
2023-12-05 22:00:00,5487.172673199019,3121.9625043681417,8018.328689602891
2023-12-05 23:00:00,6177.335853043847,3745.648761825469,8670.75630954954
2023-12-06 00:00:00,6994.907775196018,4467.858077170839,9491.183538580714
2023-12-06 01:00:00,6950.489114085556,4225.715679175515,9264.55671578352
2023-12-06 02:00:00,7072.48063833315,4623.544619056274,9685.39266579043
2023-12-06 03:00:00,7311.328530018489,4939.597700656918,9921.361789410565
2023-12-06 04:00:00,7030.756118072978,4416.698232592163,9453.385580761847
2023-12-06 05:00:00,7018.526745017659,4534.814484327582,9597.968840475103
2023-12-06 06:00:00,7245.800579420396,4703.831916902243,9819.076349981638
2023-12-06 07:00:00,7315.564373976623,4846.028832428713,9842.689468848006
2023-12-06 08:00:00,7203.274740319875,4752.068367915485,9774.088575552843
2023-12-06 09:00:00,7723.501264823033,5113.532467629854,10193.226492050797
2023-12-06 10:00:00,7119.2528335837715,4690.839826263447,9645.159629190373
2023-12-06 11:00:00,6731.218901105156,4179.887785203827,9461.761353600012
2023-12-06 12:00:00,6600.97618852879,4027.567408635981,9188.574223150257
2023-12-06 13:00:00,6507.804291213111,4200.799797557143,9039.366924891838
2023-12-06 14:00:00,6235.757990663725,3822.5602854654035,8725.859018334464
2023-12-06 15:00:00,6242.904425030877,3588.3260531743636,8655.021175709991
2023-12-06 16:00:00,6269.6638187418175,3663.9708382749154,8833.422011715167
2023-12-06 17:00:00,6221.030459816575,3692.7415733542666,8597.65454061427
2023-12-06 18:00:00,6243.364662966729,3928.2997995277415,8621.354493002937
2023-12-06 19:00:00,6319.875577275362,3907.413108358015,9045.578528165857
2023-12-06 20:00:00,5873.317402365972,3408.075764293027,8396.637442478619
2023-12-06 21:00:00,5556.010319251648,2934.971002187021,8046.402865242919
2023-12-06 22:00:00,5378.140553669776,3055.733542581137,7791.647767398077
2023-12-06 23:00:00,5644.064348017756,3052.2236453888777,8096.3682673563935
2023-12-07 00:00:00,6327.3111520473885,3690.221372168657,8872.359111793976
2023-12-07 01:00:00,6997.45072026378,4339.102110835847,9388.281036342534
2023-12-07 02:00:00,6972.020941281861,4362.682268794308,9552.343312275689
2023-12-07 03:00:00,7028.853326427761,4238.3138262826005,9418.738996543847
2023-12-07 04:00:00,6965.821476327632,4549.826520583805,9438.629617795768
2023-12-07 05:00:00,6980.210251478459,4299.369290757886,9406.486438727346
2023-12-07 06:00:00,7126.850887191186,4502.598399938864,9566.633053469155
2023-12-07 07:00:00,7082.475646585489,4590.426662815981,9498.460847815813
2023-12-07 08:00:00,7019.859230996203,4504.653417477805,9691.266406916651
2023-12-07 09:00:00,6897.658072591523,4157.688915915177,9335.514464654858
2023-12-07 10:00:00,7065.7181853639695,4569.010825071837,9512.130824827824
2023-12-07 11:00:00,6983.432835831549,4577.857546868416,9664.243643825033
2023-12-07 12:00:00,6610.721220374855,3984.1179887208823,8913.2862431104
2023-12-07 13:00:00,6676.4381292641865,4081.3328456636737,9165.982691120575
2023-12-07 14:00:00,6266.432668966091,3800.5974306569906,8866.2058929579
2023-12-07 15:00:00,6578.180793403344,4003.4614742649583,9104.038637024278
2023-12-07 16:00:00,6479.928660926373,3978.305368537829,9049.02048019597
2023-12-07 17:00:00,6230.232477021454,3783.060090325799,8688.176676000454
2023-12-07 18:00:00,6500.797642698504,4047.9421103762043,9105.472754078844
2023-12-07 19:00:00,6393.718626695269,3965.5130375185795,9097.012357014848
2023-12-07 20:00:00,6180.663697890318,3679.6967421382606,8662.320444370594
2023-12-07 21:00:00,5968.358610620858,3660.2813273293614,8450.729940697456
2023-12-07 22:00:00,5823.521663389694,3392.163132252892,8378.717989015748
2023-12-07 23:00:00,5420.393962664204,2797.275304727388,8052.242411251116
2023-12-08 00:00:00,5847.9631490861975,3175.801873147076,8238.509338447024
2023-12-08 01:00:00,5687.257533613854,3091.775608242249,8308.402767118885
2023-12-08 02:00:00,5798.37106085362,3269.8894567777056,8387.339417293726
2023-12-08 03:00:00,5844.928659186477,3252.2221050968333,8116.466603470548
2023-12-08 04:00:00,5889.266865391549,3377.004347337577,8369.083287644291
2023-12-08 05:00:00,5871.405169523825,3168.9214425785012,8324.38138013604
2023-12-08 06:00:00,5834.243893075309,3568.7720388751377,8491.023630522124
2023-12-08 07:00:00,5953.271576222711,3230.485361554828,8405.925052262359
2023-12-08 08:00:00,5969.027262639381,3637.426948247434,8414.674530134378
2023-12-08 09:00:00,6010.876840113659,3442.399692758698,8401.480919750547
2023-12-08 10:00:00,5941.172300626738,3521.2808390664954,8413.45234238894
2023-12-08 11:00:00,6304.5908990505795,3752.819238016822,8700.017709223792
2023-12-08 12:00:00,6672.554118832649,4248.984380180306,9418.59170534575
2023-12-08 13:00:00,6035.070002890292,3525.710341439142,8435.894682695847
2023-12-08 14:00:00,6439.9507295553485,4052.632284528066,8877.44087079934
2023-12-08 15:00:00,6727.352042649689,4119.778230189835,9185.369467052109
2023-12-08 16:00:00,6644.862885899521,4099.406247919058,9122.198663182537
2023-12-08 17:00:00,6913.227819696657,4462.133834412773,9331.556731948496
2023-12-08 18:00:00,6726.418101201732,4379.763056754549,9297.597582400924
2023-12-08 19:00:00,6218.774515128918,3689.7630334883283,8645.331287382545
2023-12-08 20:00:00,6600.121496490436,4131.533390002791,9132.176124050291
2023-12-08 21:00:00,6351.816519755194,3782.683986422595,8521.818971337032
2023-12-08 22:00:00,6242.164687864879,3863.9289798198106,8813.04051167543
2023-12-08 23:00:00,7386.350985948182,4978.858431160466,9781.757603918693
2023-12-09 00:00:00,7672.306049966969,5104.83138486357,10206.424989674402
2023-12-09 01:00:00,8643.797412334354,6095.812036178472,11053.688548015922
2023-12-09 02:00:00,10756.531909935935,8277.288989670713,13177.708488550172
2023-12-09 03:00:00,7609.277526941345,5053.786262416793,10012.292030897686
2023-12-09 04:00:00,7145.470549072991,4500.612819611328,9656.323879483281
2023-12-09 05:00:00,7769.74734354333,5429.777272406812,10353.401073858997
2023-12-09 06:00:00,6657.2162421034345,4107.4340912038515,9191.875587371758
2023-12-09 07:00:00,6684.749744952155,4246.038673475229,9123.760242706088
2023-12-09 08:00:00,8133.953745749583,5533.5835548011055,10562.157178977599
2023-12-09 09:00:00,7177.124378549513,4747.8396789464705,9609.770009037566
2023-12-09 10:00:00,6935.165150612558,4328.723632520196,9334.30359618045
2023-12-09 11:00:00,6227.802853848991,3634.778433515303,9026.693589667138
2023-12-09 12:00:00,5896.776255606952,3153.676857146054,8343.807657229585
2023-12-09 13:00:00,6349.188652469348,3751.674092913691,8938.955458034916
